"","lambda1","lambda2","p","theta","Local","Visitant"
"1",2.04656827914692,1.09639500681295,0.027075974668403,0.908139010203366,"Stuttgart","Augsburgo"
"2",1.63312429377262,0.815873017035594,0.027075974668403,0.908139010203366,"Real Sociedad","Elche"
"3",1.09397280861474,1.26703518695929,0.027075974668403,0.908139010203366,"Lens","Lille"
"4",1.93498649737708,0.857524675132796,0.027075974668403,0.908139010203366,"Leicester","Newcastle"
