Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90
1,Bayern Munich,13,10,3,0,50,18,+32,33,2.54,34.4,14.4,+20.0,+1.54,13,9,1,3,28,17,+11,28,2.15,23.5,18.7,+4.8,+0.37
2,RB Leipzig,13,10,2,1,25,10,+15,32,2.46,28.2,11.7,+16.5,+1.27,13,7,4,2,23,11,+12,25,1.92,20.4,10.2,+10.2,+0.78
3,Wolfsburg,12,8,4,0,24,8,+16,28,2.33,19.1,13.1,+6.0,+0.50,14,6,5,3,21,14,+7,23,1.64,19.6,15.6,+4.1,+0.29
4,Eint Frankfurt,13,7,6,0,27,15,+12,27,2.08,22.9,13.4,+9.5,+0.73,13,5,5,3,26,21,+5,20,1.54,20.4,21.5,-1.2,-0.09
5,Dortmund,12,7,2,3,27,14,+13,23,1.92,24.9,14.4,+10.5,+0.88,14,6,2,6,27,23,+4,20,1.43,27.0,15.6,+11.5,+0.82
6,Leverkusen,13,5,4,4,25,19,+6,19,1.46,21.4,17.5,+4.0,+0.30,13,6,3,4,18,12,+6,21,1.62,14.0,11.5,+2.5,+0.21
7,Union Berlin,13,5,7,1,24,14,+10,22,1.69,20.4,13.5,+6.9,+0.53,13,4,4,5,16,18,-2,16,1.23,17.3,14.6,+2.6,+0.20
8,Freiburg,14,6,4,4,26,20,+6,22,1.57,20.1,18.3,+1.8,+0.14,12,4,3,5,13,19,-6,15,1.25,12.7,20.3,-7.6,-0.63
9,Stuttgart,12,3,6,3,21,17,+4,15,1.25,19.1,19.0,0.0,0.00,14,6,3,5,26,24,+2,21,1.50,26.0,21.1,+5.0,+0.36
10,MGladbach,13,5,4,4,20,16,+4,19,1.46,17.9,13.3,+4.7,+0.36,13,4,5,4,24,24,0,17,1.31,23.6,18.2,+5.4,+0.41
11,Hoffenheim,13,5,2,6,23,19,+4,17,1.31,18.1,19.0,-0.9,-0.07,13,3,4,6,17,26,-9,13,1.00,22.0,21.4,+0.6,+0.04
12,Werder Bremen,13,3,4,6,13,19,-6,13,1.00,10.8,17.6,-6.7,-0.52,13,4,5,4,18,19,-1,17,1.31,14.4,19.8,-5.4,-0.42
13,Augsburg,13,4,3,6,15,21,-6,15,1.15,14.8,24.0,-9.2,-0.71,13,4,2,7,12,19,-7,14,1.08,9.8,18.8,-9.0,-0.75
14,Hertha BSC,13,4,2,7,16,24,-8,14,1.08,15.9,15.0,+0.9,+0.08,13,2,4,7,15,21,-6,10,0.77,14.7,19.7,-5.0,-0.39
15,Mainz 05,13,3,2,8,11,20,-9,11,0.85,17.3,18.7,-1.4,-0.11,13,3,4,6,15,25,-10,13,1.00,14.6,19.5,-4.8,-0.40
16,Köln,13,1,5,7,14,23,-9,8,0.62,13.0,20.5,-7.5,-0.58,13,4,3,6,11,23,-12,15,1.15,13.6,23.1,-9.5,-0.73
17,Arminia,14,4,1,9,10,22,-12,13,0.93,11.3,23.3,-12.0,-0.86,12,2,3,7,10,23,-13,9,0.75,10.4,22.4,-12.0,-1.00
18,Schalke 04,14,1,3,10,8,29,-21,6,0.43,10.6,26.1,-15.5,-1.11,12,0,4,8,8,40,-32,4,0.33,8.7,28.2,-19.5,-1.63
