Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90
1,Paris S-G,15,10,1,4,35,10,+25,31,2.07,33.8,16.0,+17.8,+1.19,15,10,2,3,32,11,+21,32,2.13,30.5,15.7,+14.8,+0.99
2,Lille,16,9,5,2,25,10,+15,32,2.00,21.8,9.5,+12.3,+0.82,14,9,4,1,25,9,+16,31,2.21,18.3,10.1,+8.2,+0.58
3,Lyon,15,9,3,3,31,16,+15,30,2.00,37.8,16.8,+21.0,+1.40,15,8,6,1,28,14,+14,30,2.00,28.1,15.7,+12.4,+0.83
4,Monaco,15,9,5,1,32,17,+15,32,2.13,29.3,12.0,+17.3,+1.15,15,9,0,6,28,21,+7,27,1.80,21.4,15.4,+6.0,+0.40
5,Lens,14,5,5,4,21,20,+1,20,1.43,21.5,16.3,+5.3,+0.38,16,8,4,4,25,22,+3,28,1.75,25.0,18.9,+6.1,+0.38
6,Marseille,15,7,4,4,23,18,+5,25,1.67,21.5,14.5,+7.0,+0.47,15,5,5,5,15,18,-3,20,1.33,12.6,21.9,-9.3,-0.62
7,Rennes,15,6,3,6,17,19,-2,21,1.40,20.1,14.6,+5.5,+0.37,15,6,5,4,20,14,+6,23,1.53,18.9,17.2,+1.8,+0.12
8,Montpellier,16,7,2,7,30,30,0,23,1.44,22.0,25.4,-3.4,-0.23,14,5,6,3,18,19,-1,21,1.50,14.6,24.8,-10.2,-0.73
9,Metz,15,5,4,6,17,17,0,19,1.27,14.9,18.0,-3.1,-0.21,15,6,5,4,19,15,+4,23,1.53,19.6,19.4,+0.2,+0.02
10,Angers,14,5,2,7,15,20,-5,17,1.21,15.1,19.2,-4.1,-0.29,16,6,5,5,18,23,-5,23,1.44,17.7,18.0,-0.3,-0.02
11,Nice,15,5,2,8,19,25,-6,17,1.13,19.0,24.7,-5.6,-0.38,15,6,4,5,20,16,+4,22,1.47,18.2,17.5,+0.7,+0.05
12,Reims,14,4,6,4,12,13,-1,18,1.29,10.5,21.6,-11.2,-0.80,16,5,5,6,24,23,+1,20,1.25,16.1,24.0,-7.9,-0.53
13,Bordeaux,15,5,4,6,13,15,-2,19,1.27,15.2,17.7,-2.5,-0.17,15,5,2,8,19,23,-4,17,1.13,14.5,21.8,-7.3,-0.52
14,Brest,15,8,2,5,29,25,+4,26,1.73,22.8,20.6,+2.2,+0.16,15,2,3,10,14,28,-14,9,0.60,15.0,22.7,-7.7,-0.51
15,Strasbourg,15,4,4,7,16,19,-3,16,1.07,21.8,19.0,+2.7,+0.18,15,5,2,8,21,25,-4,17,1.13,21.4,18.9,+2.4,+0.16
16,Saint-Étienne,15,3,6,6,14,25,-11,15,1.00,18.4,18.5,-0.2,-0.01,15,5,3,7,16,21,-5,18,1.20,16.4,18.2,-1.8,-0.12
17,Lorient,15,6,2,7,22,27,-5,20,1.33,18.2,18.8,-0.7,-0.04,15,1,6,8,14,27,-13,9,0.60,17.5,21.1,-3.6,-0.26
18,Nîmes,15,3,3,9,17,29,-12,12,0.80,13.7,24.3,-10.6,-0.71,15,5,2,8,13,27,-14,17,1.13,15.7,28.3,-12.6,-0.90
19,Nantes,15,2,8,5,15,23,-8,14,0.93,18.4,19.3,-0.8,-0.06,15,3,5,7,16,23,-7,14,0.93,17.9,24.0,-6.2,-0.41
20,Dijon,16,0,6,10,5,22,-17,6,0.38,10.6,25.3,-14.7,-0.98,14,2,3,9,15,29,-14,9,0.64,12.7,32.8,-20.1,-1.44
