Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90
1,Inter,13,11,1,1,36,14,+22,34,2.62,27.2,15.3,+11.9,+0.92,14,9,4,1,29,12,+17,31,2.21,28.3,12.6,+15.7,+1.12
2,Milan,14,6,4,4,25,20,+5,22,1.57,27.3,16.9,+10.4,+0.74,14,12,1,1,28,13,+15,37,2.64,26.1,18.4,+7.7,+0.55
3,Atalanta,14,8,3,3,38,20,+18,27,1.93,29.2,16.5,+12.7,+0.90,14,8,4,2,27,14,+13,28,2.00,22.4,13.6,+8.8,+0.68
4,Juventus,14,10,2,2,29,10,+19,32,2.29,29.7,12.4,+17.3,+1.24,13,6,5,2,25,13,+12,23,1.77,23.4,12.7,+10.7,+0.82
5,Napoli,13,9,1,3,33,11,+22,28,2.15,22.4,13.4,+9.0,+0.69,14,8,1,5,25,18,+7,25,1.79,21.9,16.3,+5.6,+0.43
6,Roma,15,10,3,2,33,17,+16,33,2.20,32.5,15.5,+17.0,+1.21,13,5,2,6,18,25,-7,17,1.31,20.2,14.5,+5.7,+0.44
7,Lazio,13,8,2,3,21,16,+5,26,2.00,17.0,15.0,+2.0,+0.16,14,7,2,5,22,21,+1,23,1.64,22.3,20.4,+1.9,+0.13
8,Sassuolo,13,4,6,3,21,20,+1,18,1.38,19.2,17.9,+1.4,+0.10,14,6,3,5,24,24,0,21,1.50,19.7,23.6,-3.9,-0.28
9,Hellas Verona,14,6,3,5,18,16,+2,21,1.50,16.8,14.9,+1.9,+0.15,14,4,5,5,18,18,0,17,1.21,15.7,21.3,-5.6,-0.40
10,Sampdoria,14,6,2,6,22,21,+1,20,1.43,14.7,20.7,-6.0,-0.46,14,4,3,7,16,21,-5,15,1.07,15.8,21.8,-6.1,-0.43
11,Bologna,13,6,3,4,24,21,+3,21,1.62,17.9,21.5,-3.6,-0.28,15,3,4,8,15,23,-8,13,0.87,19.4,23.8,-4.3,-0.29
12,Udinese,14,5,3,6,12,13,-1,18,1.29,18.0,11.9,+6.1,+0.43,14,3,6,5,18,23,-5,15,1.07,17.1,18.5,-1.4,-0.10
13,Genoa,14,4,5,5,20,21,-1,17,1.21,14.3,18.6,-4.3,-0.30,14,3,5,6,10,19,-9,14,1.00,10.3,19.3,-9.0,-0.64
14,Fiorentina,15,5,5,5,20,19,+1,20,1.33,20.4,20.0,+0.4,+0.03,13,2,3,8,15,26,-11,9,0.69,14.7,21.1,-6.3,-0.49
15,Spezia,14,3,5,6,17,23,-6,14,1.00,18.3,20.9,-2.6,-0.19,14,4,3,7,19,28,-9,15,1.07,15.7,28.8,-13.1,-0.93
16,Benevento,14,2,5,7,13,28,-15,11,0.79,15.2,25.1,-9.9,-0.71,14,5,3,6,15,24,-9,18,1.29,14.4,22.1,-7.7,-0.55
17,Torino,13,1,7,5,18,23,-5,10,0.77,17.6,14.8,+2.9,+0.22,14,3,4,7,21,27,-6,13,0.93,16.6,23.0,-6.3,-0.49
18,Cagliari,14,3,3,8,15,24,-9,12,0.86,17.0,24.8,-7.9,-0.56,14,2,4,8,16,24,-8,10,0.71,16.2,25.6,-9.4,-0.67
19,Parma,15,2,5,8,9,24,-15,11,0.73,16.7,21.5,-4.8,-0.32,13,1,5,7,17,30,-13,8,0.62,11.8,20.3,-8.5,-0.65
20,Crotone,14,4,1,9,20,29,-9,13,0.93,14.3,27.3,-13.0,-0.93,14,0,2,12,12,41,-29,2,0.14,12.8,28.1,-15.3,-1.09
