nom1,nom,Nation,Pos,equip,Born,partits,minuts,ga90,save
Niclas Thiede,Niclas-Thiede,de GER,GK,Freiburg,1999.0,1,69,1.3,0.75
Nícolas Andrade,Nicolas-Andrade,br BRA,GK,Udinese,1988.0,2,180,2.5,0.28600000000000003
Nicolas Lemaître,Nicolas-Lemaitre,fr FRA,GK,Reims,1997.0,1,90,3.0,0.33299999999999996
Niklas Lomb,Niklas-Lomb,de GER,GK,Leverkusen,1993.0,2,135,2.0,0.625
Oier Olazábal,Oier-Olazabal,es ESP,GK,Espanyol,1989.0,2,180,0.0,1.0
Oliver Baumann,Oliver-Baumann,de GER,GK,Hoffenheim,1990.0,55,4950,1.670625,0.6754374999999999
Ørjan Nyland,Orjan-Nyland,no NOR,GK,Aston Villa,1990.0,7,539,2.0,0.5379999999999999
Pau López,Pau-Lopez,es ESP,GK,Roma,1994.0,50,4427,1.3918731168396383,0.6905261131570138
Paul Bernardoni,Paul-Bernardoni,fr FRA,GK,Nîmes,1997.0,55,4904,1.5073908469226724,0.6520867964229354
Paul Delecroix,Paul-Delecroix,fr FRA,GK,Metz,1988.0,2,135,2.67,0.4
Paul Nardi,Paul-Nardi,fr FRA,GK,Lorient,1994.0,18,1620,2.06,0.609
Paulo Gazzaniga,Paulo-Gazzaniga,ar ARG,GK,Tottenham,1992.0,18,1613,1.45,0.7090000000000001
Pavao Pervan,Pavao-Pervan,at AUT,GK,Wolfsburg,1987.0,9,810,1.0,0.8110999999999999
Pepe Reina,Pepe-Reina,es ESP,GK,Aston Villa,1982.0,35,3060,1.4780357142857141,0.6792321428571428
Péter Gulácsi,Peter-Gulacsi,hu HUN,GK,RB Leipzig,1990.0,58,5220,0.9826190476190476,0.7126904761904761
Philipp Pentke,Philipp-Pentke,de GER,GK,Hoffenheim,1985.0,5,450,1.0,0.7916666666666666
Pierluigi Gollini,Pierluigi-Gollini,it ITA,GK,Atalanta,1995.0,49,4299,1.238185159257963,0.6755519775988799
Pietro Terracciano,Pietro-Terracciano,it ITA,GK,Fiorentina,1990.0,8,671,0.9235793871866296,0.8364136490250695
Predrag Rajković,Predrag-Rajkovic,rs SRB,GK,Reims,1995.0,56,4995,0.8600000000000001,0.7708571428571428
Radosław Majecki,Radoslaw-Majecki,pl POL,GK,Monaco,1999.0,1,90,1.0,0.5
Rafael,Rafael,br BRA,GK,Cagliari,1982.0,8,571,2.2021075581395353,0.445405523255814
Rafał Gikiewicz,Rafal-Gikiewicz,pl POL,GK,Union Berlin,1987.0,59,5310,1.6216470588235294,0.6969058823529412
Ralf Fährmann,Ralf-Fahrmann,de GER,GK,Norwich City,1988.0,16,1267,3.4173537604456823,0.81208356545961
Régis Gurtner,Regis-Gurtner,fr FRA,GK,Amiens,1986.0,28,2520,1.79,0.65
Robert Sánchez,Robert-Sanchez,es ESP,GK,Brighton,1997.0,18,1620,0.94,0.722
Roberto,Roberto,es ESP,GK,Alavés,1986.0,27,2377,1.9768743693239155,0.686
Robin Olsen,Robin-Olsen,se SWE,GK,Cagliari,1990.0,22,1974,1.4534158415841585,0.7387648514851486
Robin Zentner,Robin-Zentner,de GER,GK,Mainz 05,1994.0,47,4185,1.769090909090909,0.6661888111888112
Romain Salin,Romain-Salin,fr FRA,GK,Rennes,1984.0,20,1710,1.1088235294117648,0.7303823529411764
Roman Bürki,Roman-Burki,ch SUI,GK,Dortmund,1990.0,47,4210,1.3815575221238938,0.6185663716814159
Ron-Robert Zieler,Ron-Robert-Zieler,de GER,GK,Köln,1989.0,1,51,1.76,1.0
Rubén,Ruben,es ESP,GK,Osasuna,1984.0,22,1770,1.4603321410321923,0.574240163515585
Rubén Blanco,Ruben-Blanco,es ESP,GK,Celta Vigo,1995.0,52,4597,1.3546406801411615,0.6636004170676933
Rubén Yáñez,Ruben-Yanez,es ESP,GK,Getafe,1993.0,9,810,1.33,0.607
Rui Patrício,Rui-Patricio,pt POR,GK,Wolves,1988.0,67,6029,1.1285297522574669,0.679228525121556
Rui Silva,Rui-Silva,pt POR,GK,Granada,1994.0,62,5580,1.3304494382022471,0.6870224719101122
Rúnar Alex Rúnarsson,Runar-Alex-Runarsson,is ISL,GK,Dijon,1995.0,12,916,1.670815450643777,0.6363519313304722
Rune Jarstein,Rune-Jarstein,no NOR,GK,Hertha BSC,1984.0,37,3267,1.6281941309255081,0.6859277652370204
Salvatore Sirigu,Salvatore-Sirigu,it ITA,GK,Torino,1987.0,61,5490,1.7974418604651163,0.6566744186046511
