,Wk,Day,Date,Time,Home,xG,Score1,Score2,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2020-08-21,19:00,Bordeaux,0.4,0,0,0.3,Nantes,,Stade Matmut-Atlantique,Benoît Bastien,Match Report,
1,1.0,Sat,2020-08-22,17:00,Dijon,0.5,0,1,2.1,Angers,,Stade Gaston Gérard,Eric Wattellier,Match Report,
2,1.0,Sat,2020-08-22,21:00,Lille,0.5,1,1,1.4,Rennes,3975.0,Stade Pierre-Mauroy,Clément Turpin,Match Report,
3,1.0,Sun,2020-08-23,13:00,Monaco,2.0,2,2,1.3,Reims,,Stade Louis II.,François Letexier,Match Report,
4,1.0,Sun,2020-08-23,15:00,Nîmes,1.1,4,0,0.4,Brest,,Stade des Costières,Jérémie Pignard,Match Report,
5,1.0,Sun,2020-08-23,15:00,Lorient,2.8,3,1,0.5,Strasbourg,,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,
6,1.0,Sun,2020-08-23,17:00,Nice,0.2,2,1,2.5,Lens,,Stade de Nice,Jérôme Miguelgorry,Match Report,
7,,,,,,,NA,NA,,,,,,,
8,2.0,Fri,2020-08-28,21:00,Lyon,4.8,4,1,0.4,Dijon,,Groupama Stadium,Benoît Millot,Match Report,
9,2.0,Sat,2020-08-29,17:00,Rennes,1.9,2,1,0.5,Montpellier,,Roazhon Park,Willy Delajod,Match Report,
10,2.0,Sat,2020-08-29,21:00,Strasbourg,0.2,0,2,1.4,Nice,,Stade de la Meinau,Jérôme Brisard,Match Report,
11,2.0,Sun,2020-08-30,13:00,Reims,0.2,0,1,1.1,Lille,,Stade Auguste-Delaune II,Stéphanie Frappart,Match Report,
12,2.0,Sun,2020-08-30,15:00,Angers,0.9,0,2,2.1,Bordeaux,,Stade Raymond Kopa,Karim Abed,Match Report,
13,2.0,Sun,2020-08-30,15:00,Saint-Étienne,1.3,2,0,0.2,Lorient,,Stade Geoffroy-Guichard,Florent Batta,Match Report,
14,2.0,Sun,2020-08-30,15:00,Metz,0.7,0,1,0.3,Monaco,4463.0,Stade Saint-Symphorien,Jeremy Stinat,Match Report,
15,2.0,Sun,2020-08-30,15:00,Nantes,2.3,2,1,1.4,Nîmes,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
16,2.0,Sun,2020-08-30,21:00,Brest,2.7,2,3,1.4,Marseille,,Stade Francis-Le Blé,Amaury Delerue,Match Report,
17,2.0,Thu,2020-09-10,21:00,Lens,1.4,1,0,0.6,Paris S-G,,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
18,,,,,,,NA,NA,,,,,,,
19,3.0,Fri,2020-09-11,21:00,Bordeaux,0.2,0,0,2.2,Lyon,,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
20,3.0,Sat,2020-09-12,17:00,Montpellier,1.6,3,1,0.4,Nice,,Stade de la Mosson,Antony Gautier,Match Report,
21,3.0,Sat,2020-09-12,21:00,Saint-Étienne,1.7,2,0,1.2,Strasbourg,,Stade Geoffroy-Guichard,Eric Wattellier,Match Report,
22,3.0,Sun,2020-09-13,13:00,Lille,1.5,1,0,0.7,Metz,,Stade Pierre-Mauroy,Jérémie Pignard,Match Report,
23,3.0,Sun,2020-09-13,15:00,Dijon,0.4,0,2,2.0,Brest,,Stade Gaston Gérard,Bastien Dechepy,Match Report,
24,3.0,Sun,2020-09-13,15:00,Nîmes,1.4,2,4,1.9,Rennes,,Stade des Costières,Mikael Lesage,Match Report,
25,3.0,Sun,2020-09-13,15:00,Angers,2.0,1,0,0.3,Reims,,Stade Raymond Kopa,Benoît Bastien,Match Report,
26,3.0,Sun,2020-09-13,15:00,Lorient,1.3,2,3,2.1,Lens,,Stade Yves Allainmat - Le Moustoir,Aurélien Petit,Match Report,
27,3.0,Sun,2020-09-13,17:00,Monaco,2.0,2,1,0.6,Nantes,,Stade Louis II.,Clément Turpin,Match Report,
28,3.0,Sun,2020-09-13,21:00,Paris S-G,1.7,0,1,0.5,Marseille,,Parc des Princes,Jérôme Brisard,Match Report,
29,,,,,,,NA,NA,,,,,,,
30,1.0,Tue,2020-09-15,21:00,Montpellier,1.6,2,1,1.6,Lyon,,Stade de la Mosson,François Letexier,Match Report,
