,Wk,Day,Date,Time,Home,xG,Score1,Score2,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
110,12.0,Tue,2020-12-15,18:30,Eint Frankfurt,2.2,3,3,1.6,MGladbach,,Commerzbank-Arena,Benjamin Cortus,Match Report,
111,12.0,Tue,2020-12-15,20:30,Werder Bremen,0.2,1,2,2.8,Dortmund,,Weserstadion,Robert Schröder,Match Report,
112,12.0,Tue,2020-12-15,20:30,Stuttgart,1.7,2,2,0.8,Union Berlin,,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
113,12.0,Tue,2020-12-15,20:30,Hertha BSC,0.6,0,0,0.5,Mainz 05,,Olympiastadion Berlin,Matthias Jöllenbeck,Match Report,
114,12.0,Wed,2020-12-16,18:30,Schalke 04,0.4,0,2,1.4,Freiburg,,Veltins-Arena,Sven Jablonski,Match Report,
115,12.0,Wed,2020-12-16,20:30,Köln,0.6,0,4,1.4,Leverkusen,,RheinEnergieSTADION,Tobias Stieler,Match Report,
116,12.0,Wed,2020-12-16,20:30,Hoffenheim,0.8,0,1,0.3,RB Leipzig,,PreZero Arena,Daniel Schlager,Match Report,
117,12.0,Wed,2020-12-16,20:30,Bayern Munich,2.0,2,1,1.1,Wolfsburg,,Allianz Arena,Marco Fritz,Match Report,
118,12.0,Wed,2020-12-16,20:30,Arminia,0.8,0,1,0.6,Augsburg,,SchücoArena,Patrick Ittrich,Match Report,
119,,,,,,,NA,NA,,,,,,,
120,13.0,Fri,2020-12-18,20:30,Union Berlin,1.1,2,1,1.7,Dortmund,,Stadion An der Alten Försterei,Harm Osmers,Match Report,
121,13.0,Sat,2020-12-19,15:30,MGladbach,1.8,1,2,1.8,Hoffenheim,,Stadion im Borussia-Park,Frank Willenborg,Match Report,
122,13.0,Sat,2020-12-19,15:30,Schalke 04,0.6,0,1,0.7,Arminia,,Veltins-Arena,Bastian Dankert,Match Report,
123,13.0,Sat,2020-12-19,15:30,Mainz 05,0.5,0,1,0.9,Werder Bremen,,Opel Arena,Guido Winkmann,Match Report,
124,13.0,Sat,2020-12-19,15:30,RB Leipzig,2.2,0,0,0.5,Köln,,Red Bull Arena,Felix Brych,Match Report,
125,13.0,Sat,2020-12-19,15:30,Augsburg,2.0,0,2,1.3,Eint Frankfurt,,WWK Arena,Daniel Siebert,Match Report,
126,13.0,Sat,2020-12-19,18:30,Leverkusen,0.3,1,2,1.3,Bayern Munich,,BayArena,Felix Zwayer,Match Report,
127,13.0,Sun,2020-12-20,15:30,Freiburg,2.8,4,1,1.8,Hertha BSC,,Schwarzwald-Stadion,Tobias Reichel,Match Report,
128,13.0,Sun,2020-12-20,18:00,Wolfsburg,1.8,1,0,1.7,Stuttgart,,Volkswagen Arena,Florian Badstübner,Match Report,
129,,,,,,,NA,NA,,,,,,,
130,14.0,Sat,2021-01-02,15:30,Köln,0.5,0,1,1.3,Augsburg,,RheinEnergieSTADION,Sören Storks,Match Report,
131,14.0,Sat,2021-01-02,15:30,Arminia,0.2,0,1,2.7,MGladbach,,SchücoArena,Sascha Stegemann,Match Report,
132,14.0,Sat,2021-01-02,15:30,Eint Frankfurt,1.4,2,1,0.7,Leverkusen,,Commerzbank-Arena,Felix Brych,Match Report,
133,14.0,Sat,2021-01-02,15:30,Hoffenheim,1.2,1,3,1.9,Freiburg,,PreZero Arena,Robert Hartmann,Match Report,
134,14.0,Sat,2021-01-02,15:30,Werder Bremen,1.0,0,2,0.8,Union Berlin,,Weserstadion,Tobias Stieler,Match Report,
135,14.0,Sat,2021-01-02,18:30,Hertha BSC,2.3,3,0,0.9,Schalke 04,,Olympiastadion Berlin,Sven Jablonski,Match Report,
136,14.0,Sat,2021-01-02,20:30,Stuttgart,1.1,0,1,3.2,RB Leipzig,,Mercedes-Benz Arena,Christian Dingert,Match Report,
137,14.0,Sun,2021-01-03,15:30,Dortmund,1.8,2,0,1.6,Wolfsburg,,Signal Iduna Park,Manuel Gräfe,Match Report,
138,14.0,Sun,2021-01-03,18:00,Bayern Munich,3.5,5,2,1.5,Mainz 05,,Allianz Arena,Markus Schmidt,Match Report,
139,,,,,,,NA,NA,,,,,,,
140,15.0,Fri,2021-01-08,20:30,MGladbach,1.3,3,2,1.4,Bayern Munich,,Stadion im Borussia-Park,Harm Osmers,Match Report,
141,15.0,Sat,2021-01-09,15:30,Schalke 04,2.0,4,0,2.4,Hoffenheim,,Veltins-Arena,Felix Zwayer,Match Report,
142,15.0,Sat,2021-01-09,15:30,Union Berlin,1.4,2,2,1.8,Wolfsburg,,Stadion An der Alten Försterei,Patrick Ittrich,Match Report,
143,15.0,Sat,2021-01-09,15:30,Mainz 05,1.2,0,2,2.3,Eint Frankfurt,,Opel Arena,Bastian Dankert,Match Report,
144,15.0,Sat,2021-01-09,15:30,Leverkusen,0.8,1,1,0.4,Werder Bremen,,BayArena,Benjamin Cortus,Match Report,
145,15.0,Sat,2021-01-09,15:30,Freiburg,2.9,5,0,0.2,Köln,,Schwarzwald-Stadion,Robert Schröder,Match Report,
146,15.0,Sat,2021-01-09,18:30,RB Leipzig,1.0,1,3,2.2,Dortmund,,Red Bull Arena,Daniel Siebert,Match Report,
147,15.0,Sun,2021-01-10,15:30,Augsburg,1.0,1,4,4.0,Stuttgart,,WWK Arena,Daniel Schlager,Match Report,
148,15.0,Sun,2021-01-10,18:00,Arminia,0.8,1,0,0.8,Hertha BSC,,SchücoArena,Guido Winkmann,Match Report,
149,,,,,,,NA,NA,,,,,,,
150,16.0,Fri,2021-01-15,20:30,Union Berlin,1.3,1,0,1.3,Leverkusen,,Stadion An der Alten Försterei,Florian Badstübner,Match Report,
151,16.0,Sat,2021-01-16,15:30,Dortmund,2.4,1,1,0.8,Mainz 05,,Signal Iduna Park,Sven Jablonski,Match Report,
152,16.0,Sat,2021-01-16,15:30,Köln,0.4,0,0,0.9,Hertha BSC,,RheinEnergieSTADION,Frank Willenborg,Match Report,
153,16.0,Sat,2021-01-16,15:30,Hoffenheim,0.7,0,0,0.8,Arminia,,PreZero Arena,Marco Fritz,Match Report,
154,16.0,Sat,2021-01-16,15:30,Wolfsburg,1.2,2,2,2.1,RB Leipzig,,Volkswagen Arena,Tobias Stieler,Match Report,
155,16.0,Sat,2021-01-16,15:30,Werder Bremen,1.2,2,0,0.5,Augsburg,,Weserstadion,Sascha Stegemann,Match Report,
156,16.0,Sat,2021-01-16,18:30,Stuttgart,2.0,2,2,1.5,MGladbach,,Mercedes-Benz Arena,Felix Brych,Match Report,
157,16.0,Sun,2021-01-17,15:30,Bayern Munich,2.7,2,1,1.0,Freiburg,,Allianz Arena,Christian Dingert,Match Report,
158,16.0,Sun,2021-01-17,18:00,Eint Frankfurt,1.7,3,1,0.2,Schalke 04,,Commerzbank-Arena,Manuel Gräfe,Match Report,
159,,,,,,,NA,NA,,,,,,,
160,17.0,Tue,2021-01-19,18:30,MGladbach,0.8,1,0,1.1,Werder Bremen,,Stadion im Borussia-Park,Martin Petersen,Match Report,
161,17.0,Tue,2021-01-19,20:30,Mainz 05,0.4,0,2,1.1,Wolfsburg,,Opel Arena,Sören Storks,Match Report,
162,17.0,Tue,2021-01-19,20:30,Leverkusen,1.8,2,1,2.1,Dortmund,,BayArena,Felix Zwayer,Match Report,
163,17.0,Tue,2021-01-19,20:30,Hertha BSC,1.4,0,3,1.3,Hoffenheim,,Olympiastadion Berlin,Harm Osmers,Match Report,
164,17.0,Wed,2021-01-20,18:30,Schalke 04,1.4,1,2,1.6,Köln,,Veltins-Arena,Daniel Siebert,Match Report,
165,17.0,Wed,2021-01-20,20:30,RB Leipzig,1.4,1,0,0.3,Union Berlin,,Red Bull Arena,Markus Schmidt,Match Report,
166,17.0,Wed,2021-01-20,20:30,Freiburg,0.7,2,2,1.4,Eint Frankfurt,,Schwarzwald-Stadion,Guido Winkmann,Match Report,
167,17.0,Wed,2021-01-20,20:30,Arminia,2.2,3,0,0.9,Stuttgart,,SchücoArena,Robert Hartmann,Match Report,
168,17.0,Wed,2021-01-20,20:30,Augsburg,1.2,0,1,2.0,Bayern Munich,,WWK Arena,Matthias Jöllenbeck,Match Report,
169,,,,,,,NA,NA,,,,,,,
170,18.0,Fri,2021-01-22,20:30,MGladbach,1.8,4,2,1.2,Dortmund,,Stadion im Borussia-Park,Manuel Gräfe,Match Report,
171,18.0,Sat,2021-01-23,15:30,Arminia,0.6,1,5,2.4,Eint Frankfurt,,SchücoArena,Robert Schröder,Match Report,
172,18.0,Sat,2021-01-23,15:30,Augsburg,1.0,2,1,1.5,Union Berlin,,WWK Arena,Felix Brych,Match Report,
173,18.0,Sat,2021-01-23,15:30,Leverkusen,1.0,0,1,1.1,Wolfsburg,,BayArena,Marco Fritz,Match Report,
174,18.0,Sat,2021-01-23,15:30,Mainz 05,1.6,3,2,1.4,RB Leipzig,,Opel Arena,Christian Dingert,Match Report,
175,18.0,Sat,2021-01-23,15:30,Freiburg,1.2,2,1,2.5,Stuttgart,,Schwarzwald-Stadion,Tobias Stieler,Match Report,
176,18.0,Sat,2021-01-23,18:30,Hertha BSC,1.9,1,4,1.5,Werder Bremen,,Olympiastadion Berlin,Daniel Schlager,Match Report,
177,18.0,Sun,2021-01-24,15:30,Schalke 04,0.7,0,4,3.1,Bayern Munich,,Veltins-Arena,Sascha Stegemann,Match Report,
178,18.0,Sun,2021-01-24,18:00,Hoffenheim,2.2,3,0,2.0,Köln,,PreZero Arena,Sven Jablonski,Match Report,
179,,,,,,,NA,NA,,,,,,,
