"","V1","V2","V3"
"976",2.15,3.75,3
"977",1.53,3.8,6
"978",4.33,4,1.72
"979",2.62,3,2.87
"980",3.75,3.4,2
"981",1.57,3.6,6.5
"982",1.4,5,6.5
"983",2.1,3.25,3.6
"984",1.8,3.5,4.5
"985",8,5,1.36
"986",2.4,3.4,2.87
"987",1.25,6.5,10
"988",2.6,3.3,2.62
"989",7,5,1.4
"990",1.72,3.8,4.2
"991",6,4.2,1.5
"992",1.75,3.6,4.75
"993",2.5,3.3,2.75
"994",1.2,7,15
"995",3.1,3.4,2.25
"996",4.75,4.75,1.57
"997",3.4,3.3,2.2
"998",1.44,4.75,6.5
"999",1.9,3.6,3.8
"1000",3.5,3.8,1.95
"1001",4.5,4,1.72
"1002",2.9,3.3,2.45
"1003",2.2,3.5,3.2
"1004",2.2,3.1,3.6
"1005",6.5,5.25,1.4
"1006",6.5,4.75,1.45
"1007",4.2,3.5,1.85
"1008",2,3.4,3.8
"1009",2.25,3.3,3.2
"1010",2.55,3.2,2.9
"1011",1.7,3.75,5
"1012",1.95,3.6,3.75
"1013",8,4.2,1.44
"1014",1.14,8.5,17
"1015",2.87,3,2.7
"1016",3.3,3.6,2.1
"1017",7,4.75,1.4
"1018",3,3.4,2.35
"1019",1.61,3.9,5.5
"1020",2.87,3.6,2.37
"1021",3.25,3.6,2.1
"1022",4,3.75,1.85
"1023",2.25,3.4,3.2
"1024",2.7,2.9,3
"1025",2.37,3.25,3.1
"1026",5.5,4.2,1.57
"1027",4,3.8,1.85
"1028",1.75,3.75,4.6
"1029",1.75,3.9,4.33
"1030",1.3,5.5,9.5
"1031",4.33,2.9,2.1
"1032",2.8,3.3,2.55
"1033",3.1,3.4,2.3
"1034",2.3,3.1,3.4
"1035",1.9,3.2,4.5
"1036",2.45,3.1,3.1
"1037",7,4.5,1.45
"1038",2.45,3.1,3.1
"1039",1.14,8.5,16
"1040",1.36,5,8.5
"1041",1.53,4,6.5
"1042",3.3,3.5,2.2
"1043",3.4,3.75,2.1
"1044",2.8,3.6,2.37
"1045",1.2,7,13
"1046",3.25,3.4,2.25
"1047",1.66,4,5
"1048",2.15,3.3,3.5
"1049",3.6,3.6,2
"1050",3,3.5,2.3
"1051",1.4,4.75,7.5
"1052",9,5,1.33
"1053",1.6,3.5,7
"1054",2.1,3.5,3.4
"1055",1.8,3.5,4.75
"1056",6.5,4.33,1.5
"1057",1.8,3.75,4.5
"1058",2.3,3.3,3.1
"1059",2,3.5,3.75
"1060",2.9,3.3,2.5
"1061",1.22,7.5,11
"1062",1.5,4.33,6.5
"1063",3.4,3.4,2.15
"1064",1.95,3.3,4.2
"1065",2.62,3.2,2.87
"1066",2.3,3.3,3.2
"1067",1.6,4,6
"1068",1.28,5.75,11
"1069",6.25,3.75,1.6
"1070",1.95,3.8,3.6
"1071",1.14,8.5,17
"1072",1.53,4.33,5.75
"1073",2.75,3.5,2.4
"1074",1.66,4.3,4.5
"1075",1.2,7,13
"1076",2.4,3.5,2.8
"1077",1.4,4.5,8
"1078",5.75,4.75,1.5
"1079",1.57,4.2,5.75
"1080",3.1,3.8,2.15
"1081",2.25,3.5,3.1
"1082",4,4,1.8
"1083",2.9,3.1,2.55
"1084",1.83,3.4,4.6
"1085",5.5,3.6,1.66
"1086",1.57,4.2,5.5
"1087",2.87,3.4,2.45
"1088",2.55,3.3,2.75
"1089",13,7,1.2
"1090",4.33,3.9,1.75
"1091",2.9,3.5,2.37
"1092",1.5,4.33,7
"1093",1.9,3.25,4.5
"1094",2.1,3.5,3.4
"1095",1.5,4,7
"1096",2,3.4,3.8
"1097",1.22,6.5,12
"1098",6,4.33,1.53
"1099",4.33,3.9,1.75
"1100",2.05,3.5,3.5
"1101",6.5,3.4,1.66
"1102",1.18,7.5,15
"1103",3.3,3.75,2.1
"1104",1.95,3.4,4
"1105",1.14,8,17
"1106",2.8,3.2,2.6
"1107",3.75,3.4,2.05
"1108",2.05,3.6,3.5
"1109",4.75,3.8,1.75
"1110",2.62,3.75,2.5
"1111",7.5,5,1.36
"1112",2.1,3.5,3.6
"1113",4.33,3.75,1.8
"1114",1.45,4.2,8
"1115",1.8,3.75,4.33
"1116",5.5,4.33,1.55
"1117",2.05,3.2,4
"1118",1.72,4,4.5
"1119",1.45,4.75,6.5
"1120",1.44,5,6.2
"1121",2.62,3.8,2.45
"1122",6,4,1.57
"1123",1.61,4,5.25
"1124",16,8.5,1.14
"1125",1.75,3.75,4.5
"1126",2.5,3.1,3
"1127",8,5.25,1.36
"1128",2.05,3.4,3.75
"1129",1.4,4.75,8
"1130",2.37,3.1,3.25
"1131",3.75,3.5,2
"1132",2.37,3.1,3.25
"1133",2.37,3.5,2.9
"1134",2.8,3,2.75
"1135",8,4.75,1.4
"1136",1.4,5,7
"1137",2.25,3.5,3.1
"1138",5,3.9,1.66
"1139",1.7,4,4.75
"1140",3,3.4,2.4
"1141",2.3,3,3.6
"1142",2.25,3.1,3.4
"1143",3.1,3.25,2.37
"1144",3.9,3.8,1.85
"1145",3.5,3.6,2.05
"1146",15,7.5,1.18
"1147",3.8,3.5,1.95
"1148",1.6,4.2,5.25
"1149",2.05,3.4,3.75
"1150",2.8,3.3,2.55
"1151",1.25,6,11
"1152",3.2,3.6,2.2
"1153",1.61,4,5
"1154",2.7,3.25,2.62
"1155",2.2,3.1,3.6
"1156",1.28,5.75,9
"1157",1.2,8,11
"1158",1.25,6.5,9
"1159",1.75,3.8,4.5
"1160",3.2,3.4,2.25
"1161",1.9,3.5,4
"1162",1.9,3.6,4
"1163",4,3.25,2
"1164",1.33,5.5,8
"1165",1.66,3.75,5.5
"1166",2.4,3.2,3.1
"1167",2.8,3.3,2.5
"1168",1.55,4,6.5
"1169",2.87,3.2,2.55
"1170",1.12,9,18
"1171",3.3,3.2,2.3
"1172",2.8,3.5,2.45
"1173",2.8,3.6,2.37
"1174",4,3.8,1.85
"1175",7,4.5,1.45
"1176",1.22,6.5,12
"1177",2.25,3.4,3.2
"1178",1.85,3.8,4
"1179",1.9,3.2,4.5
"1180",9,4,1.44
"1181",2.7,3.3,2.62
"1182",1.36,5.25,7.5
"1183",2.15,3.4,3.4
"1184",1.66,3.75,5.5
"1185",2.1,3.4,3.5
"1186",2,3.3,3.8
"1187",13,8.5,1.14
"1188",1.36,4.75,10
"1189",4.33,4,1.75
"1190",1.33,5,9.5
"1191",1.8,4,4.2
"1192",4.33,4,1.75
"1193",3.2,3.4,2.25
"1194",3.75,3.2,2.1
"1195",1.7,4.2,4.33
"1196",3,3.5,2.3
"1197",2.9,3.3,2.45
"1198",1.3,5.5,10
"1199",1.65,3.9,5.25
"1200",1.8,3.6,4.33
"1201",2,3.3,4
"1202",3.6,3.3,2.1
"1203",1.4,4.75,7
"1204",2.8,3.2,2.6
"1205",2.15,3.4,3.4
"1206",4,3.2,2.05
"1207",2.55,3.2,2.9
"1208",2.6,3,3
"1209",1.57,4.2,5.5
"1210",9,5.25,1.33
"1211",2.37,3.25,3.1
"1212",1.45,4.75,6.5
"1213",1.05,15,23
"1214",2.05,3.2,4
"1215",13,7,1.2
"1216",4,3.5,1.9
"1217",2.5,3.5,2.7
"1218",2.2,3.4,3.25
"1219",1.33,5.25,9
"1220",3.5,3.4,2.1
"1221",7,5.75,1.36
"1222",2.6,3,3
"1223",6.5,4.2,1.5
"1224",4.75,3.6,1.75
"1225",2,3.75,3.5
"1226",5.25,4.33,1.57
"1227",3.3,3.4,2.2
"1228",9,5.75,1.3
"1229",1.45,4.5,6.5
"1230",2.9,3.8,2.25
"1231",2.2,3.3,3.4
"1232",7,4.5,1.44
"1233",6.5,3.8,1.53
"1234",1.72,3.6,4.75
"1235",1.45,4.2,8
"1236",2.15,3.2,3.6
"1237",2.55,3,3
"1238",5.75,4.6,1.5
"1239",2.5,3.2,2.9
"1240",1.45,4.5,7
"1241",2.7,3.2,2.7
"1242",2.5,3.25,2.9
"1243",1.66,4,5
"1244",7,5,1.4
"1245",2.7,3.2,2.7
"1246",2.05,3.25,3.8
"1247",4.5,3.5,1.8
"1248",7.5,5,1.4
"1249",2.62,3.5,2.6
"1250",3.6,3.1,2.2
"1251",3,3.3,2.4
"1252",3.6,3.5,2.05
"1253",1.53,4.2,6
"1254",1.45,4.5,7
"1255",3.5,3.4,2.1
"1256",3.4,3.6,2.05
"1257",7,4.5,1.45
"1258",1.4,5,7
"1259",1.8,3.8,4.33
"1260",1.72,4,4.33
"1261",5,3.9,1.66
"1262",3,3.25,2.4
"1263",1.22,6.5,13
"1264",2.3,3.1,3.3
"1265",3.2,3.3,2.3
"1266",1.36,5,8
"1267",1.6,3.6,6.5
"1268",1.8,3.8,4.2
"1269",1.53,4,6.5
"1270",1.22,6.5,11
"1271",1.45,4.2,8
"1272",1.8,3.6,4.33
"1273",1.4,5,6.5
"1274",1.45,4.8,6.25
"1275",2.15,3.6,3.1
"1276",2.8,3.3,2.45
"1277",1.75,3.6,5
"1278",5,3.3,1.8
"1279",1.5,3.9,7.5
"1280",1.95,3.3,4.2
"1281",1.28,6,9
"1282",1.16,8,13
"1283",3,3,2.55
"1284",1.36,5,8.5
"1285",3.5,3.4,2.1
"1286",2.37,3.1,3.2
"1287",1.28,5.75,9.5
"1288",2.7,3.5,2.5
"1289",1.9,3.4,4.2
"1290",3.8,3.6,1.95
"1291",6.75,4.6,1.45
"1292",1.45,4.5,7
"1293",2.37,3.5,2.9
"1294",3.75,3.25,2.1
"1295",1.4,4.75,8
"1296",2.25,3.2,3.4
"1297",1.9,3.4,4.2
"1298",1.36,5,8
"1299",2.25,3,3.6
"1300",2.45,3.4,2.8
"1301",3,3.1,2.5
"1302",1.85,3.4,4.33
"1303",1.5,4,7
"1304",2.6,3.3,2.75
"1305",2.37,3.2,3.1
"1306",10,5.5,1.3
"1307",1.83,3.8,4
"1308",1.85,3.6,4.2
"1309",1.72,3.8,4.75
"1310",6.5,4.75,1.44
"1311",2.87,3.4,2.45
"1312",3.7,3.8,1.9
"1313",1.75,3.9,4.5
"1314",4,3.1,2.05
"1315",1.66,3.75,5.25
"1316",1.22,6.5,12
"1317",2,3.3,4
"1318",4.75,3.4,1.8
"1319",2.25,3.4,3.2
"1320",2.75,3.2,2.7
"1321",8.5,5.5,1.33
"1322",5.5,3.75,1.65
"1323",2.05,3.1,4.1
"1324",6,4.5,1.5
"1325",2.37,3.3,3
"1326",2,3.4,3.8
"1327",2.87,3.3,2.45
"1328",1.61,4,5.25
"1329",3.5,3.6,2.05
"1330",4,4.33,1.75
"1331",2.4,3.2,3.1
"1332",9,5.75,1.3
"1333",3.6,3.25,2.15
"1334",1.53,4,7
"1335",2.45,3.2,3
"1336",5.5,4.2,1.57
"1337",2.15,3,3.9
"1338",2.8,3.2,2.5
"1339",5,3.8,1.7
"1340",2,3.3,4
"1341",1.44,4.5,7
"1342",2.15,3.2,3.6
"1343",1.61,4.2,5
"1344",2.7,3.1,2.8
"1345",2.3,3.4,3.1
"1346",5.5,4,1.61
"1347",5.25,3.9,1.65
"1348",2.05,3.6,3.5
"1349",1.16,8,13
"1350",2.87,3.3,2.45
"1351",2.25,3.2,3.4
"1352",3.1,3.4,2.3
"1353",4.2,3.4,1.95
"1354",1.61,4.33,4.75
"1355",2.62,3.4,2.7
"1356",2.87,3.5,2.4
"1357",6.5,4.33,1.5
"1358",1.28,5.5,10
"1359",3.6,3.3,2.1
"1360",3.6,3.6,2
"1361",1.83,3.8,4
"1362",5.5,4.5,1.53
"1363",1.66,3.75,5.5
"1364",2.15,3.3,3.5
"1365",2.45,3.2,3
"1366",4,3.3,2
"1367",1.5,4.2,6.5
"1368",2.37,3.3,3.1
"1369",1.7,3.5,5.5
"1370",1.16,8,15
"1371",2.25,3.5,3.1
"1372",1.12,9,19
"1373",2.8,3.4,2.37
"1374",4.33,3.8,1.75
"1375",3.3,3.25,2.25
"1376",1.83,3.4,4.75
"1377",1.16,7.5,15
"1378",1.18,7,15
"1379",1.45,4.5,6.5
"1380",1.7,4,4.75
"1381",1.6,4.2,5.25
"1382",2.15,3.3,3.5
"1383",3.2,3.5,2.2
"1384",2.62,2.9,3
"1385",2.5,3,3.1
"1386",2.37,3.1,3.1
"1387",15,7,1.18
"1388",1.22,6.5,12
"1389",4.2,3.3,1.95
"1390",2.15,3.6,3.2
"1391",3.5,3.2,2.2
"1392",2.37,3.2,3.2
"1393",3.5,3.6,2.05
"1394",6,4.2,1.53
"1395",2.37,3.5,2.9
"1396",2,3.6,3.6
"1397",1.8,3.6,4.5
"1398",1.75,3.75,4.5
"1399",3.8,3.3,2.05
"1400",2.1,3.1,4
"1401",3.2,3.1,2.45
"1402",1.44,4.75,6.5
"1403",2.87,3,2.7
"1404",3,3.2,2.45
"1405",3.2,3.3,2.3
"1406",2.8,3.1,2.7
"1407",1.75,3.6,4.75
"1408",5,4,1.65
"1409",3.5,3.2,2.2
"1410",2.5,3.4,2.8
"1411",1.53,4,6.5
"1412",2.15,3.4,3.4
"1413",8,5,1.36
"1414",5,4,1.61
"1415",3.3,3.6,2.1
"1416",1.18,7,15
"1417",2.37,3.25,3.1
"1418",1.4,4.75,7.5
"1419",2.25,3.5,3.1
"1420",1.83,4,4
"1421",2.15,3.5,3.3
"1422",1.18,7,15
"1423",1.25,6,12
"1424",1.7,4.2,4.75
"1425",1.57,4,6
"1426",2.4,3.1,3.1
"1427",1.7,3.8,5
"1428",2.8,3.3,2.55
"1429",4,3.6,1.9
"1430",7.5,4.75,1.4
"1431",1.72,3.5,5.5
"1432",2,3.4,3.8
"1433",2.45,3,3.2
"1434",4,3.25,2
"1435",3.75,3.4,2.05
"1436",8,4.75,1.4
"1437",3.6,3.5,2.05
"1438",1.8,3.6,4.5
"1439",1.16,7.5,15
"1440",3.25,3.3,2.3
"1441",2.5,3.25,2.87
"1442",3.6,3.5,2
"1443",3,3.2,2.45
"1444",4,3.6,1.9
"1445",4.33,3.6,1.83
"1446",2.25,3.6,3
"1447",11,6,1.25
"1448",3.6,3.6,2
"1449",4,3.4,1.95
"1450",2.55,3.6,2.6
"1451",1.95,3.75,3.75
"1452",5,4,1.66
"1453",1.9,3.5,4.1
"1454",2.9,3.4,2.4
"1455",1.65,4.5,4.5
"1456",3,2.8,2.7
"1457",6.5,3.6,1.6
"1458",3.25,3.2,2.3
"1459",5.75,4.5,1.5
"1460",5.5,4,1.61
"1461",3.6,3.5,2
"1462",2.37,3.25,3.1
"1463",2.55,3.25,2.8
"1464",2.1,3.5,3.4
"1465",2.4,3.3,2.9
"1466",1.85,3.75,4
"1467",2.9,3.25,2.5
"1468",4,3.5,1.9
"1469",3,3.3,2.4
"1470",2.55,3.25,2.8
"1471",1.44,4.33,7.5
"1472",1.57,4,5.75
"1473",2.37,3.2,3.1
"1474",1.36,5,8.5
"1475",1.45,4.5,7
"1476",1.45,4.5,7
"1477",1.5,4.2,6.5
"1478",3.6,3.4,2.05
"1479",1.9,3.5,4.1
"1480",3.6,3.3,2.1
"1481",2.35,3.4,3
"1482",1.53,4.2,6
"1483",1.72,3.8,4.75
"1484",1.53,4,6.5
"1485",2.05,3.6,3.5
"1486",2.05,3.6,3.4
"1487",3.3,3.3,2.2
"1488",1.8,3.3,5.25
"1489",2.9,3,2.62
"1490",1.18,7.5,15
"1491",4,3.8,1.85
"1492",2.25,3.4,3.2
"1493",7.5,4.5,1.4
"1494",3.8,3.3,2.05
"1495",1.25,6.5,10
"1496",1.28,5.75,9.5
"1497",2.2,3.1,3.6
"1498",1.5,4.5,6
"1499",1.83,3.5,4.5
"1500",4.75,3.1,1.9
"1501",2.55,3.5,2.62
"1502",1.9,3.5,4.2
"1503",10,6.5,1.25
"1504",1.33,5.25,9
"1505",2.15,3.1,3.8
"1506",1.18,7,15
"1507",2.5,3.2,3
"1508",2,3.25,4.2
"1509",4.75,4,1.7
"1510",2.15,3.2,3.6
"1511",10,5,1.33
"1512",2.37,3.25,3.1
"1513",3.4,3.25,2.2
"1514",3.2,3,2.45
"1515",1.36,4.75,9
"1516",1.8,3.8,4.2
"1517",2.45,3.6,2.7
"1518",2.7,3.2,2.7
"1519",5.5,4.2,1.57
"1520",2.9,3.4,2.4
"1521",2,3.4,3.75
"1522",3.25,3.6,2.15
"1523",3.6,3.5,2.05
"1524",1.85,3.4,4.5
"1525",2.55,3.2,2.87
"1526",2.1,3.3,3.6
"1527",2.4,3.2,3.1
"1528",1.18,7,17
"1529",2.9,3.1,2.5
"1530",1.5,4.2,6.5
"1531",2.55,3.4,2.75
"1532",1.83,3.6,4.33
"1533",2.25,3.4,3.2
"1534",5.5,3.75,1.65
"1535",8,5,1.36
"1536",6,4,1.55
"1537",2.55,3.3,2.8
"1538",1.18,7.5,13
"1539",4.75,3.75,1.72
"1540",1.4,4.5,8
"1541",2.45,3.4,2.8
"1542",9,4.75,1.33
"1543",2.55,3.1,2.9
"1544",1.72,3.8,4.5
"1545",4.5,3.6,1.75
"1546",2.37,3.4,3
"1547",1.2,7,11
"1548",8,4.75,1.4
"1549",1.85,4,3.8
"1550",4.5,3.6,1.8
"1551",7.5,4.5,1.44
"1552",1.75,3.6,4.75
"1553",4.33,4,1.72
"1554",2.45,3.2,3
"1555",4.33,3.5,1.83
"1556",3.3,3.2,2.3
"1557",3,3.3,2.4
"1558",1.66,3.5,6
"1559",3.5,3.6,2.05
"1560",2.7,3.1,2.8
"1561",1.9,3.75,3.8
"1562",3.4,3.6,2.05
"1563",1.95,3.4,4
"1564",1.83,3.25,4.75
"1565",2,3.5,3.75
"1566",1.44,4.2,7.5
"1567",1.36,4.5,10
"1568",3.6,3.8,1.95
"1569",2.62,3.4,2.6
"1570",2.5,3.25,2.9
"1571",3.6,3.3,2.1
"1572",2.1,3.2,3.75
"1573",2.3,3.1,3.3
"1574",1.3,5,11
"1575",2.9,3.75,2.25
"1576",2.8,3.5,2.45
"1577",2.9,3.3,2.45
"1578",5,4,1.65
"1579",1.18,7,15
"1580",2.37,3.3,3
"1581",3.6,3.25,2.15
"1582",3.6,3.4,2.1
"1583",2.6,3.5,2.62
"1584",2.37,3.3,3
"1585",3.6,3.8,1.9
"1586",1.22,6.5,12
"1587",1.72,4.2,4.2
"1588",1.72,3.6,4.75
"1589",1.5,4.33,6
"1590",2.7,3.8,2.37
"1591",1.75,4,4.1
"1592",3.8,3.3,2.05
"1593",1.33,5.5,8
"1594",2.55,2.8,3.2
"1595",1.44,4.5,7
"1596",1.72,3.8,4.75
"1597",4,4,1.83
"1598",1.22,6,15
"1599",1.5,4.33,6.5
"1600",6,4.2,1.53
"1601",3.1,3.7,2.15
"1602",1.5,4.33,6.5
"1603",1.4,4.5,8
"1604",2.62,3.3,2.7
"1605",2.5,3.3,2.8
"1606",3.3,3,2.37
"1607",1.4,4.75,7
"1608",1.22,6,14
"1609",4.5,4.5,1.61
"1610",6,4.5,1.5
"1611",7.5,4.5,1.44
"1612",1.9,3.6,4
"1613",2.4,3.3,2.87
"1614",3,3.2,2.5
"1615",4.33,3.75,1.8
"1616",3.1,3.1,2.45
"1617",2.9,3,2.7
"1618",2.62,3.2,2.75
"1619",2.7,3.2,2.6
"1620",2.3,3.5,3
"1621",2.37,3.3,2.87
"1622",3.8,3.2,2.1
"1623",3.25,3.4,2.15
"1624",1.5,4,7.5
"1625",2.05,3.3,3.8
"1626",5.5,4,1.6
"1627",2.25,3.3,3.3
"1628",1.61,4,5.5
"1629",1.12,9,19
"1630",1.75,3.5,5
"1631",2.87,3.2,2.55
"1632",2.1,3.3,3.6
"1633",1.33,5.25,9
"1634",1.95,3.6,3.8
"1635",2.87,3.3,2.45
"1636",2,3.2,4.1
"1637",6,3.7,1.61
"1638",2.5,3,3.1
"1639",1.44,4.75,6.5
"1640",2.37,3.5,2.9
"1641",3.2,3.5,2.2
"1642",8,4.75,1.4
"1643",4,3.8,1.83
"1644",1.9,3.1,4.5
"1645",1.9,3.3,4.4
"1646",2.2,3.5,3.1
"1647",2.8,3.8,2.3
"1648",4.33,4,1.75
"1649",2.55,3.4,2.62
"1650",1.28,5.75,10
"1651",1.5,4.33,6.5
"1652",7,3.8,1.53
"1653",1.75,4.2,4
"1654",5.25,3.75,1.66
"1655",2.4,3.3,3
"1656",3.2,3.4,2.25
"1657",3,3.3,2.4
"1658",1.61,3.6,6
"1659",3.5,3.3,2.1
"1660",2.05,3.4,3.6
"1661",3.25,3.2,2.3
"1662",1.8,3.6,4.5
"1663",2.05,3.5,3.6
"1664",2,3.5,3.8
"1665",2.2,3.2,3.5
"1666",2.3,3,3.5
"1667",1.18,7,15
"1668",1.36,5,8.5
"1669",2.3,3.1,3.4
"1670",3,3.3,2.37
"1671",2.87,3.4,2.45
"1672",6.5,3.75,1.57
"1673",1.25,6,12
"1674",1.25,6,11
"1675",4.75,3.75,1.72
"1676",3.6,3.5,2.05
"1677",1.72,4,4.33
"1678",5,4.5,1.57
"1679",2.87,3.6,2.3
"1680",3.5,3.3,2.15
"1681",3.6,3.3,2.1
"1682",2.25,3.3,3.3
"1683",3.5,3.6,2.05
