"","V1","V2","V3"
"228",1.08,11,26
"229",7.5,5.25,1.36
"230",2.15,3.5,3.3
"231",3,3.6,2.3
"232",2.4,3.6,2.8
"233",3.75,3.5,2
"234",1.61,4.2,5
"235",5.75,4.33,1.53
"236",3.4,3.6,2.05
"237",1.25,6,11
"238",8,5.5,1.33
"239",2.05,3.75,3.4
"240",1.16,7.5,15
"241",4.75,4,1.66
"242",2.4,3.4,2.9
"243",2.3,3.7,2.87
"244",1.53,4.2,5.75
"245",6,4.2,1.53
"246",2,3.6,3.5
"247",4.5,4,1.7
"248",6.5,5,1.4
"249",1.33,5.75,7.5
"250",2.3,3.75,2.75
"251",2.7,4.2,2.2
"252",2.8,3.8,2.3
"253",6.5,4.75,1.44
"254",2.15,4,2.9
"255",1.5,4.5,6
"256",1.5,4.6,5.75
"257",1.9,4.2,3.4
"258",2.25,3,3.75
"259",2.7,3.1,2.8
"260",2.3,3.2,3.3
"261",1.9,3.4,4.33
"262",2.3,3.2,3.3
"263",1.28,5.75,9
"264",2,3.3,3.8
"265",2.2,3.3,3.3
"266",3,3.1,2.45
"267",2.25,3.1,3.4
"268",3.75,3.4,2
"269",1.95,3.2,4.2
"270",3,3.5,2
"271",4.5,3.6,1.83
"272",3.1,3.25,2.37
"273",2.5,3.25,2.9
"274",2.2,3.3,3.4
"275",2.75,3.1,2.75
"276",2.2,3.2,3.5
"277",2.15,3.4,3.4
"278",2.8,3.2,2.6
"279",2.8,3.2,2.6
"280",2.1,3.5,3.5
"281",1.53,3.75,7.5
"282",2.37,3,3.4
"283",2.4,3.3,3
"284",3.3,3.3,2.25
"285",1.9,3.6,4
"286",NA,NA,NA
"287",1.83,3.6,4.33
"288",3.25,3.1,2.37
"289",5,4.33,1.61
"290",3.8,3.3,2.05
"291",1.25,7,9
"292",2,3.3,4
"293",1.1,11,21
"294",1.3,5.5,10
"295",2.6,3.5,2.6
"296",2.3,3.3,3.2
"297",2.6,3.5,2.62
"298",1.6,4.33,5
"299",1.57,4,6
"300",1.95,3.25,4.33
"301",2.2,3.6,3.1
"302",2.35,3.4,3
"303",1.3,5.5,9.5
"304",1.53,4.5,5.5
"305",1.83,3.75,4.2
"306",3.75,3.5,1.95
"307",5.25,4.2,1.61
"308",3,3.3,2.37
"309",7.5,5,1.4
"310",1.65,3.75,5.5
"311",2.55,3,3.1
"312",2.1,3.25,3.75
"313",2.6,3.1,2.87
"314",1.33,5.75,8
"315",2.3,3.1,3.4
"316",3.1,3.6,2.2
"317",2.05,3.1,4.2
"318",1.85,3.6,4.33
"319",4.75,3.8,1.72
"320",2.3,3.2,3.3
"321",2.87,3.5,2.37
"322",1.61,4,5.5
"323",1.95,3.75,3.75
"324",1.3,5.5,9.5
"325",2.7,3.1,2.75
"326",1.57,4.33,5.5
"327",6.5,4.33,1.5
"328",2.25,3.75,2.9
"329",1.66,3.75,5.5
"330",3.5,2.9,2.37
"331",4.75,3.75,1.72
"332",4.75,4.4,1.61
"333",7,4.75,1.44
"334",3,3.5,2.3
"335",1.44,4.5,7.5
"336",3.75,3.25,2.1
"337",2.87,3.1,2.6
"338",5,4,1.66
"339",2.5,3.4,2.8
"340",1.5,4.5,6
"341",4,4,1.8
"342",1.61,3.75,6
"343",3.2,3.3,2.3
"344",11,7.5,1.2
"345",3.2,3.3,2.3
"346",2.3,3.2,3.25
"347",3,3,2.55
"348",1.5,4,7.5
"349",2.8,3,2.7
"350",1.53,4.33,6
"351",2.1,3.25,3.6
"352",2.05,3.3,3.8
"353",4.5,3.6,1.8
"354",1.85,3.5,4.2
"355",2.6,3.3,2.75
"356",5.75,4.2,1.57
"357",13,6,1.22
"358",1.45,4.5,7
"359",1.28,6,9.5
"360",3.6,3.5,2.05
"361",2.7,3,2.8
"362",1.3,5.5,10
"363",3.6,3.6,2
"364",1.95,3.6,3.6
"365",1.45,4.75,6.5
"366",1.53,4.2,5.75
"367",2.45,3.1,3
"368",1.57,3.8,5.75
"369",2.55,3.5,2.55
"370",1.22,6,11
"371",1.4,4.5,7.5
"372",5.75,4.2,1.53
"373",2.05,3.6,3.4
"374",1.61,4,5.25
"375",1.1,9,21
"376",2.35,3,3.4
"377",1.4,4.75,8
"378",1.28,6,9
"379",3.8,4,1.85
"380",2.37,3.7,2.8
"381",1.61,3.9,5.5
"382",1.72,3.75,4.8
"383",1.95,3.5,4.2
"384",1.25,6.5,10
"385",2.25,3.1,3.5
"386",5,4,1.66
"387",2.8,3.2,2.6
"388",2.45,3.25,3
"389",2.4,3.2,3.1
"390",2.7,3.1,2.75
"391",1.25,6.5,10
"392",1.66,3.8,5.5
"393",1.61,4.2,5.25
"394",3.1,3.6,2.2
"395",3.3,3.3,2.25
"396",1.66,3.8,5.25
"397",1.57,4,6
"398",3.1,3.7,2.2
"399",2,3.6,3.7
"400",6,4.5,1.5
"401",1.61,3.75,6
"402",1.85,3.8,4
"403",1.57,4.33,5.25
"404",1.7,3.8,5
"405",1.16,8,15
"406",3.3,2.9,2.37
"407",2.3,3.2,3.3
"408",10,5.5,1.3
"409",2.87,3.1,2.62
"410",5.25,3.8,1.66
"411",3.75,4.2,1.83
"412",2.5,3.8,2.55
"413",5.75,4.5,1.53
"414",2.25,3.5,3.1
"415",4,4.33,1.75
"416",5.5,4.33,1.57
"417",5.5,3.3,1.75
"418",1.45,4.75,6.5
"419",2.3,3.5,3
"420",3.3,3.5,2.15
"421",1.18,7,15
"422",1.44,5,6.5
"423",1.85,3.8,4
"424",4.75,3.8,1.72
"425",2,3.5,3.8
"426",4.75,4,1.66
"427",2.1,3.4,3.6
"428",4.2,3.4,1.9
"429",6.5,5,1.4
"430",2.6,3,3
"431",2.9,3.6,2.3
"432",3.6,3.3,2.15
"433",2.1,3.3,3.7
"434",NA,NA,NA
"435",2.62,3.3,2.7
"436",3.2,3.8,2.1
"437",1.6,4,5.25
"438",1.57,4.33,5.5
"439",1.83,3.8,4.1
"440",2.5,3.25,2.9
"441",1.83,3.6,4.33
"442",2.75,3.25,2.6
"443",2.05,3.2,4
"444",2.25,2.9,3.8
"445",2,3.4,3.9
"446",2.15,3.4,3.4
"447",2.1,3.5,3.4
"448",NA,NA,NA
"449",2.5,3.3,2.87
"450",NA,NA,NA
"451",1.85,3.8,3.8
"452",1.66,4.33,4.5
"453",3.2,3.1,2.4
"454",2.05,3.4,3.5
"455",2.05,3.75,3.3
"456",8,5.25,1.36
"457",1.4,5.5,6.5
"458",1.16,7.5,9
"459",4.75,4.33,1.61
"460",1.4,4.5,7
"461",2.3,3.3,3.1
"462",2,3.6,3.6
"463",2.75,3.1,2.7
"464",1.16,6.5,12
"465",3.25,2.9,2.4
"466",1.45,4.33,7.5
"467",2.37,3.6,2.8
"468",1.55,3.8,6.5
